COUNTY    , Precinct Seq, PRECINCT            , Office Seq, OfficeID, District, Candidate Group, OFFICENAME                                 , ELECTDATE         , ELECTTYPE       , Col1, BName1                           , Tally1, Col2, BName2                            , Tally2, Col3, BName3                        , Tally3, Col4, BName4                         , Tally4, Col5, BName5                              , Tally5, Col6, BName6                           , Tally6, Col7, BName7                         , Tally7, Col8, BName8                            , Tally8, Col9, BName9                      , Tally9, Col10, BName10                      , Tally10
ANDERSON  ,         0010, Emory Valley        ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0010, Emory Valley        ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,   1148,    2, . Mary M. Headrick - (D)          ,    797,    3, . Matthew Deniston - (I)      ,     54,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0010, Emory Valley        ,          5, TNH     ,       33,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . John D. Ragan - (R)            ,   1036,    2, . Jim Hackworth - (D)             ,   1003,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0011, Fairview            ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,    481,    2, . Barack Obama - (D)              ,    151,    3, . Virgil Goode - (C)          ,      4,    4, . Jill Stein - (G)             ,      4,    5, ". Ross C. ""Rocky"" Anderson - (I)",      2,    6, . Gary Johnson - (I)             ,      4,    7, . Merlin Miller - (I)          ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0011, Fairview            ,          2, USS     ,         ,               1, United States Senate                       , "November 6, 2012", General Election,    1, . Bob Corker - (R)               ,    478,    2, . Mark E. Clayton - (D)           ,    106,    3, . Kermit Steck - (C)          ,      9,    4, . Martin Pleasant - (G)        ,      9,    5, . Shaun E. Crowell - (I)            ,      1,    6, . David Gatchell - (I)           ,      2,    7, . James Higdon - (I)           ,      1,    8, . Michel Joseph Long - (I)        ,      7,    9, . Troy Stephen Scoggin - (I),      0,    10, . Write-In - Fred R. Anderson,       0
ANDERSON  ,         0011, Fairview            ,          2, USS     ,         ,              11, United States Senate                       , "November 6, 2012", General Election,   11, . Write-In - Larry Crim          ,      0,   12, . Write-In - Gary Gene Davis      ,      0,   13, . Write-In - Allen Hoenicke   ,      0,   14, . Write-In - De Wayne A. Jones ,      0,   15, . Write-In - Jacob Maurer           ,      0,   16, . Write-In - Jim Maynard         ,      0,   17, . Write-In - Margie Nell Penn  ,      0,   18, . Write-In - Christopher Schappert,      0,   19, . Write-In - Lee Stewart    ,      0,    20, . Write-In - Angelia Stinnett,       0
ANDERSON  ,         0011, Fairview            ,          2, USS     ,         ,              21, United States Senate                       , "November 6, 2012", General Election,   21, . Write-In - Mary D. Wright      ,      0,     ,                                   ,      0,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0011, Fairview            ,          3, USH     ,        3,               1, U.S. House of Representatives District     , "November 6, 2012", General Election,    1, . Chuck Fleischmann - (R)        ,    430,    2, . Mary M. Headrick - (D)          ,    154,    3, . Matthew Deniston - (I)      ,     20,    4, . Write-In - Richard Hall      ,      0,    5, . Write-In - Lady J Jean Howard-Hill,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0011, Fairview            ,          5, TNH     ,       36,               1, Tennessee House of Representatives District, "November 6, 2012", General Election,    1, . Dennis Powers - (R)            ,    422,    2, . Virgil Kidwell - (I)            ,    142,     ,                               ,      0,     ,                                ,      0,     ,                                     ,      0,     ,                                  ,      0,     ,                                ,      0,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
ANDERSON  ,         0012, Glenwood            ,          1, PRES    ,         ,               1, United States President                    , "November 6, 2012", General Election,    1, . Mitt Romney - (R)              ,    825,    2, . Barack Obama - (D)              ,    677,    3, . Virgil Goode - (C)          ,      8,    4, . Jill Stein - (G)             ,      9,    5, ". Ross C. ""Rocky"" Anderson - (I)",      2,    6, . Gary Johnson - (I)             ,     22,    7, . Merlin Miller - (I)          ,      2,     ,                                   ,      0,     ,                             ,      0,      ,                              ,       0
