COUNTY    , Precinct Sequence, Precinct Name       , Office Seq, OfficeID, District, Candidate Group, OFFICENAME                                 , ELECTDATE         , ELECTTYPE    , Col1, BName1                         , Tally1, Col2, BName2                                      , Tally2, Col3, BName3                                   , Tally3, Col4, BName4                           , Tally4, Col5, BName5                       , Tally5, Col6, BName6                         , Tally6, Col7, BName7                  , Tally7, Col8, BName8                         , Tally8, Col9, BName9                  , Tally9, Col10, BName10                    , Tally10
ANDERSON  ,              0001, Andersonville       ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    717,    2, . Mike McWherter - D                        ,    164,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      8,    5, . Samuel David Duck - I      ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      2,    8, . Toni K. Hall - I             ,      1,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0001, Andersonville       ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      3,   14, . Thomas Smith II - I            ,      2,   15, . Howard M. Switzer - I      ,      1,   16, . Carl Twofeathers Whitaker - I,      8,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0001, Andersonville       ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    813,    2, . No                                        ,     46,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0001, Andersonville       ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,    519,    2, . John Wolfe - D                            ,    141,    3, . Don Barkman - I                        ,      2,    4, . Mark DeVol - I                 ,    190,    5, . Gregory C. Goodwin - I     ,      3,    6, . Robert Humphries - I         ,      1,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I      ,     24,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0001, Andersonville       ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    742,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0001, Andersonville       ,          5, TH      ,       38,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . Kelly Keisling - R           ,    645,    2, . Leslie Winningham - D                     ,    226,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0002, Briceville          ,          1, GOV     ,         ,               1, Governor                                   , "November 2, 2010", State General,    1, . Bill Haslam - R              ,    101,    2, . Mike McWherter - D                        ,     67,    3, . Bayron Binkley - I                     ,      1,    4, . Brandon Dodds - I              ,      2,    5, . Samuel David Duck - I      ,      0,    6, . David Gatchell - I           ,      0,    7, . June Griffin - I      ,      1,    8, . Toni K. Hall - I             ,      0,    9, . Mike Knois - I        ,      0,    10, . Boyce T. McCall - I      ,       0
ANDERSON  ,              0002, Briceville          ,          1, GOV     ,         ,              11, Governor                                   , "November 2, 2010", State General,   11, . Donald Ray McFolin - I       ,      0,   12, . Linda Kay Perry - I                       ,      0,   13, . James Reesor - I                       ,      1,   14, . Thomas Smith II - I            ,      0,   15, . Howard M. Switzer - I      ,      0,   16, . Carl Twofeathers Whitaker - I,      0,   17, . Write-in - James Lee  ,      0,   18, . Write-in - Basil Marceaux    ,      0,   19, . Write-in - Gary Nugent,      0,      ,                            ,       0
ANDERSON  ,              0002, Briceville          ,          2, CA      ,         ,               1, Constitutional Amendment                   , "November 2, 2010", State General,    1, . Yes                          ,    139,    2, . No                                        ,      8,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0002, Briceville          ,          3, UH      ,        3,               1, U. S. House of Representatives District    , "November 2, 2010", State General,    1, . Chuck Fleischmann - R        ,     79,    2, . John Wolfe - D                            ,     57,    3, . Don Barkman - I                        ,      0,    4, . Mark DeVol - I                 ,     11,    5, . Gregory C. Goodwin - I     ,      0,    6, . Robert Humphries - I         ,      2,    7, . Mo Kiah - I           ,      0,    8, . Savas T. Kyriakidis - I      ,      3,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0002, Briceville          ,          4, TS      ,        5,               1, Tennessee Senate District                  , "November 2, 2010", State General,    1, . Randy McNally - R            ,    118,     ,                                             ,      0,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
ANDERSON  ,              0002, Briceville          ,          5, TH      ,       38,               1, Tennessee House of Representatives District, "November 2, 2010", State General,    1, . Kelly Keisling - R           ,     89,    2, . Leslie Winningham - D                     ,     74,     ,                                          ,      0,     ,                                  ,      0,     ,                              ,      0,     ,                                ,      0,     ,                         ,      0,     ,                                ,      0,     ,                         ,      0,      ,                            ,       0
