COUNTY    , PRECINCT                 , PRCTSEQ, BALSEQID, JURISID, SECJURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                             , PARTY1     , PVTALLY1, COL2HDG, RNAME2                                 , PARTY2      , PVTALLY2, COL3HDG, RNAME3                     , PARTY3      , PVTALLY3, COL4HDG, RNAME4                          , PARTY4     , PVTALLY4, COL5HDG, RNAME5                   , PARTY5     , PVTALLY5, COL6HDG, RNAME6         , PARTY6     , PVTALLY6, COL7HDG, RNAME7         , PARTY7     , PVTALLY7, COL8HDG, RNAME8                   , PARTY8     , PVTALLY8, COL9HDG, RNAME9                     , PARTY9     , PVTALLY9, COL10HDG, RNAME10                , PARTY10    , PVTALLY10
Anderson  , Briceville               ,    0002,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally                      , Republican ,      121,        ,                                        ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Briceville               ,    0002,     0017,      33,          0,         0, Tennessee House of Representatives District 33   , 2014-11-04, State General,       1, John D. Ragan                      , Republican ,      118,        ,                                        ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0005,       0,          0,         0, Governor                                         , 2014-11-04, State General,       1, Bill Haslam                        , Republican ,      938,       2, " ""Charles V. """"Charlie"""" Brown""", Democratic  ,      156,       3, Shaun Crowell              , Constitution,       22,       4, Isa Infante                     , Green      ,        8,       5, Steven Damon Coburn      , Independent,        8,       6, John Jay Hooker, Independent,       24,       7, Daniel T. Lewis, Independent,        6,       8, Write-In - A. Darryl Haas, Independent,        0,       9, Write-In - BeLinda Jo Ivins, Independent,        0,       10, Write-In - Mark Pearson, Independent,         0
Anderson  , Bull Run                 ,    0003,     0006,       0,          1,         0, Constitutional Amendment 1                       , 2014-11-04, State General,       1, Yes                                ,            ,      705,       2, No                                     ,             ,      482,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0006,       0,          2,         0, Constitutional Amendment 2                       , 2014-11-04, State General,       1, Yes                                ,            ,      788,       2, No                                     ,             ,      388,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0006,       0,          3,         0, Constitutional Amendment 3                       , 2014-11-04, State General,       1, Yes                                ,            ,      864,       2, No                                     ,             ,      285,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0006,       0,          4,         0, Constitutional Amendment 4                       , 2014-11-04, State General,       1, Yes                                ,            ,      840,       2, No                                     ,             ,      290,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0007,       0,          0,         2, United States Senate                             , 2014-11-04, State General,      11, Eric Schechter                     , Independent,        1,      12, Rick Tyler                             , Independent ,        6,      13, Write-In - DeWayne A. Jones, Independent ,        0,      14, Write-In - Erin Kent Magee      , Independent,        0,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0011,       3,          0,         0, United States House of Representatives District 3, 2014-11-04, State General,       1, Chuck Fleischmann                  , Republican ,      858,       2, Mary M. Headrick                       , Democratic  ,      280,       3, Cassandra J Mitchell       , Independent ,       45,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
Anderson  , Bull Run                 ,    0003,     0015,      05,          0,         0, Tennessee Senate District 5                      , 2014-11-04, State General,       1, Randy McNally                      , Republican ,     1013,        ,                                        ,             ,         ,        ,                            ,             ,         ,        ,                                 ,            ,         ,        ,                          ,            ,         ,        ,                ,            ,         ,        ,                ,            ,         ,        ,                          ,            ,         ,        ,                            ,            ,         ,         ,                        ,            ,          
