COUNTY    , PRECINCT                 , PRCTSEQ, BALSEQID, JURISID, SECJURISID, CANDGROUP, OFFICENAME                                       , ELECTDATE , ELECTTYPE    , COL1HDG, RNAME1                            , PARTY1    , PVTALLY1, COL2HDG, RNAME2                               , PARTY2     , PVTALLY2, COL3HDG, RNAME3                                 , PARTY3     , PVTALLY3, COL4HDG, RNAME4                        , PARTY4     , PVTALLY4, COL5HDG, RNAME5                  , PARTY5     , PVTALLY5, COL6HDG, RNAME6                                 , PARTY6     , PVTALLY6, COL7HDG, RNAME7       , PARTY7     , PVTALLY7, COL8HDG, RNAME8       , PARTY8     , PVTALLY8, COL9HDG, RNAME9              , PARTY9     , PVTALLY9, COL10HDG, RNAME10   , PARTY10    , PVTALLY10
Lauderdale, Henning 1                ,    0001,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      174,       2, Jason Brantley Martin                , Democratic ,      202,       3, Constance M. Every                     , Independent,        5,       4, John Gentry                   , Independent,        2,       5, Basil Marceaux          , Independent,        1,       6, Charles Van Morgan                     , Independent,        3,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        9,       9, Michael E. Scantland, Independent,        0,       10, Rick Tyler, Independent,         0
Lauderdale, Henning 1                ,    0001,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Lauderdale, Henning 1                ,    0001,     0006,       0,          1,         0, Constitutional Amendment # 1                     , 2022-11-08, State General,       1, Yes                               ,           ,      246,       2, No                                   ,            ,      135,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Lauderdale, Henning 1                ,    0001,     0006,       0,          2,         0, Constitutional Amendment # 2                     , 2022-11-08, State General,       1, Yes                               ,           ,      259,       2, No                                   ,            ,       91,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Lauderdale, Henning 1                ,    0001,     0006,       0,          3,         0, Constitutional Amendment # 3                     , 2022-11-08, State General,       1, Yes                               ,           ,      278,       2, No                                   ,            ,      103,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Lauderdale, Henning 1                ,    0001,     0006,       0,          4,         0, Constitutional Amendment # 4                     , 2022-11-08, State General,       1, Yes                               ,           ,      215,       2, No                                   ,            ,      127,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Lauderdale, Henning 1                ,    0001,     0011,       8,          0,         0, United States House of Representatives District 8, 2022-11-08, State General,       1, David Kustoff                     , Republican,      170,       2, Lynnette P. Williams                 , Democratic ,      200,       3, James Hart                             , Independent,       10,       4, Ronnie Henley                 , Independent,        5,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Lauderdale, Henning 1                ,    0001,     0017,      82,          0,         0, Tennessee House of Representatives District 82   , 2022-11-08, State General,       1, Chris Hurt                        , Republican,      226,        ,                                      ,            ,         ,        ,                                        ,            ,         ,        ,                               ,            ,         ,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
Johnson   , 1A Laurel                ,    0001,     0005,       0,          0,         1, Governor                                         , 2022-11-08, State General,       1, Bill Lee                          , Republican,      481,       2, Jason Brantley Martin                , Democratic ,       69,       3, Constance M. Every                     , Independent,        1,       4, John Gentry                   , Independent,        4,       5, Basil Marceaux          , Independent,        0,       6, Charles Van Morgan                     , Independent,        1,       7, Alfred O'Neil, Independent,        0,       8, Deborah Rouse, Independent,        1,       9, Michael E. Scantland, Independent,        0,       10, Rick Tyler, Independent,         1
Johnson   , 1A Laurel                ,    0001,     0005,       0,          0,         2, Governor                                         , 2022-11-08, State General,      11, Write-In - Curtis Carney          ,           ,        0,      12, Write-In - Stephen C Maxwell         ,            ,        0,      13, Write-In - Kameron Parker Scott        ,            ,        0,      14, Write-In - Lemichael D. Wilson,            ,        0,        ,                         ,            ,         ,        ,                                        ,            ,         ,        ,              ,            ,         ,        ,              ,            ,         ,        ,                     ,            ,         ,         ,           ,            ,          
